Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,depth
1372687208.4681458,4148,1372687208,474662296,depth_sensor,12.95449161529541
1372687208.570474,4149,1372687208,575012036,depth_sensor,12.929121017456055
1372687208.674612,4150,1372687208,674435839,depth_sensor,12.93818187713623
1372687208.7672677,4151,1372687208,774853076,depth_sensor,12.949960708618164
1372687208.8689272,4152,1372687208,875269132,depth_sensor,12.963552474975586
1372687208.9712906,4153,1372687208,974752175,depth_sensor,12.965364456176758
1372687209.0729887,4154,1372687209,75202133,depth_sensor,12.93818187713623
1372687209.1747768,4155,1372687209,174745017,depth_sensor,12.961739540100098
1372687209.26841,4156,1372687209,275270637,depth_sensor,12.947242736816406
1372687209.370326,4157,1372687209,374859205,depth_sensor,12.868413925170898
1372687209.472419,4158,1372687209,475312780,depth_sensor,12.927309036254883
1372687209.5672023,4159,1372687209,574791583,depth_sensor,12.949054718017578
1372687209.6710217,4160,1372687209,675245435,depth_sensor,12.97533130645752
1372687209.7736788,4161,1372687209,774761381,depth_sensor,12.949054718017578
1372687209.8669112,4162,1372687209,874309717,depth_sensor,12.978049278259277
1372687209.969004,4163,1372687209,974748893,depth_sensor,12.958115577697754
1372687210.0720065,4164,1372687210,75223286,depth_sensor,12.97170639038086
1372687210.175176,4165,1372687210,174684457,depth_sensor,12.916436195373535
1372687210.2699418,4166,1372687210,275203002,depth_sensor,12.965364456176758
1372687210.3734019,4167,1372687210,374723241,depth_sensor,12.990734100341797
1372687210.4755251,4168,1372687210,475349617,depth_sensor,12.974425315856934
1372687210.56773,4169,1372687210,574789901,depth_sensor,13.019728660583496
1372687210.6706553,4170,1372687210,675321542,depth_sensor,12.952678680419922
1372687210.7744956,4171,1372687210,774950713,depth_sensor,12.973519325256348
1372687210.8668714,4172,1372687210,874296412,depth_sensor,12.95086669921875
1372687210.9690466,4173,1372687210,974734798,depth_sensor,12.970800399780273
1372687211.0707018,4174,1372687211,75172320,depth_sensor,12.965364456176758
1372687211.1732047,4175,1372687211,174688710,depth_sensor,12.96717643737793
1372687211.2757418,4176,1372687211,275108781,depth_sensor,12.984392166137695
1372687211.3674438,4177,1372687211,374655012,depth_sensor,12.988016128540039
1372687211.4696014,4178,1372687211,475185367,depth_sensor,12.9979829788208
1372687211.571611,4179,1372687211,576438977,depth_sensor,12.923685073852539
1372687211.6732302,4180,1372687211,674824311,depth_sensor,12.98348617553711
1372687211.765389,4181,1372687211,774284347,depth_sensor,12.988922119140625
1372687211.8674624,4182,1372687211,874970544,depth_sensor,12.976237297058105
1372687211.969189,4183,1372687211,974376956,depth_sensor,12.957209587097168
1372687212.0716677,4184,1372687212,74821328,depth_sensor,12.986204147338867
1372687212.1757298,4185,1372687212,175185234,depth_sensor,12.981673240661621
1372687212.2690356,4186,1372687212,274657345,depth_sensor,12.969894409179688
1372687212.3713737,4187,1372687212,375042823,depth_sensor,12.987110137939453
1372687212.4755697,4188,1372687212,474719916,depth_sensor,12.988922119140625
1372687212.5685143,4189,1372687212,575212137,depth_sensor,12.995265007019043
1372687212.6720932,4190,1372687212,674720985,depth_sensor,13.003419876098633
1372687212.7764792,4191,1372687212,775140560,depth_sensor,12.97986125946045
1372687212.8689334,4192,1372687212,874341260,depth_sensor,13.001606941223145
1372687212.9714587,4193,1372687212,974853593,depth_sensor,13.008855819702148
1372687213.0739722,4194,1372687213,75278010,depth_sensor,12.978049278259277
1372687213.166747,4195,1372687213,174711610,depth_sensor,12.987110137939453
1372687213.2680688,4196,1372687213,275267823,depth_sensor,12.9979829788208
1372687213.370307,4197,1372687213,374849068,depth_sensor,12.9979829788208
1372687213.472806,4198,1372687213,475286875,depth_sensor,12.984392166137695
1372687213.5662217,4199,1372687213,574803294,depth_sensor,12.984392166137695
1372687213.6682663,4200,1372687213,675289305,depth_sensor,12.990734100341797
1372687213.7718632,4201,1372687213,774841769,depth_sensor,12.9979829788208
1372687213.866853,4202,1372687213,875310831,depth_sensor,12.953585624694824
1372687213.9701695,4203,1372687213,974763770,depth_sensor,12.934557914733887
1372687214.071934,4204,1372687214,75366095,depth_sensor,12.974425315856934
1372687214.175083,4205,1372687214,174890378,depth_sensor,12.980767250061035
1372687214.2695365,4206,1372687214,274315595,depth_sensor,12.970800399780273
1372687214.371781,4207,1372687214,374835154,depth_sensor,12.987110137939453
1372687214.4750793,4208,1372687214,475328066,depth_sensor,12.965364456176758
1372687214.5690222,4209,1372687214,574907033,depth_sensor,12.918248176574707
1372687214.6731138,4210,1372687214,675457547,depth_sensor,12.92187213897705
1372687214.76793,4211,1372687214,774946267,depth_sensor,12.95086669921875
1372687214.8706455,4212,1372687214,874528159,depth_sensor,12.96717643737793
1372687214.9734461,4213,1372687214,975105912,depth_sensor,12.943618774414062
1372687215.0679076,4214,1372687215,74684406,depth_sensor,12.965364456176758
1372687215.1700754,4215,1372687215,175236731,depth_sensor,12.959927558898926
1372687215.2724562,4216,1372687215,274854089,depth_sensor,12.958115577697754
1372687215.3751726,4217,1372687215,375346791,depth_sensor,12.974425315856934
1372687215.4674902,4218,1372687215,474856111,depth_sensor,12.96717643737793
1372687215.5697978,4219,1372687215,574342787,depth_sensor,12.970800399780273
1372687215.6727607,4220,1372687215,674791430,depth_sensor,13.01429271697998
1372687215.7660024,4221,1372687215,774322134,depth_sensor,12.937275886535645
1372687215.868849,4222,1372687215,874958736,depth_sensor,12.952678680419922
1372687215.971133,4223,1372687215,974310021,depth_sensor,12.961739540100098
1372687216.074299,4224,1372687216,74796092,depth_sensor,12.949960708618164
