Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,errCode,dataGood_0,dataGood_1,dataGood_2,dataGood_3,altitudeBeam_0,altitudeBeam_1,altitudeBeam_2,altitudeBeam_3,bottomVelocityBeam_0,bottomVelocityBeam_1,bottomVelocityBeam_2,bottomVelocityBeam_3,waterVelocityBeam_0,waterVelocityBeam_1,waterVelocityBeam_2,waterVelocityBeam_3,waterVelocityCredit_0,waterVelocityCredit_1,waterVelocityCredit_2,waterVelocityCredit_3,velocityInst_0,velocityInst_1,velocityInst_2,velocityInstFlag,velocityEarth_0,velocityEarth_1,velocityEarth_2,velocityEarthFlag,waterVelocityInst_0,waterVelocityInst_1,waterVelocityInst_2,waterVelocityInstFlag,waterVelocityEarth_0,waterVelocityEarth_1,waterVelocityEarth_2,waterVelocityEarthFlag,roll,pitch,heading,altitude,temperature,pressure,salinity,soundSpeed,rawData
1372687212.1862733,1255,1372687212,187703788,dvl_linkquest,0X0000,1,1,1,1,2.2,2.2,2.0,2.1,-0.0261,-0.006,0.0746,0.033600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13440000000000002,-0.0529,0.0205,1,-0.13440000000000002,-0.0529,0.0205,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.2 2.2 2.0 2.1 -26.1 -6.0 74.6 33.6 0 0 0 0 0 0 0 0 -134.4 -52.9 20.5 1 -134.4 -52.9 20.5 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 111
"
1372687212.5269432,1256,1372687212,528160873,dvl_linkquest,0X0000,1,1,1,1,2.2,2.2,2.0,2.1,-0.0511,0.0,0.0852,0.0466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1819,-0.062200000000000005,0.0217,1,-0.1819,-0.062200000000000005,0.0217,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.2 2.2 2.0 2.1 -51.1 0 85.2 46.6 0 0 0 0 0 0 0 0 -181.9 -62.2 21.7 1 -181.9 -62.2 21.7 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 82
"
1372687212.8689334,1257,1372687212,873782958,dvl_linkquest,0X0000,1,1,1,1,2.2,2.2,2.0,2.1,0.0258,-0.0018000000000000002,0.0781,0.047799999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0698,-0.06620000000000001,0.0404,1,-0.0698,-0.06620000000000001,0.0404,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.2 2.2 2.0 2.1 25.8 -1.8 78.1 47.8 0 0 0 0 0 0 0 0 -69.8 -66.2 40.4 1 -69.8 -66.2 40.4 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 65
"
1372687213.227482,1258,1372687213,227814503,dvl_linkquest,0X0000,1,1,1,1,2.3,2.2,2.0,2.2,-0.0427,-0.0078,0.09290000000000001,0.053200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.181,-0.08140000000000001,0.0258,1,-0.181,-0.08140000000000001,0.0258,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.3 2.2 2.0 2.2 -42.7 -7.8 92.9 53.2 0 0 0 0 0 0 0 0 -181.0 -81.4 25.8 1 -181.0 -81.4 25.8 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 101
"
1372687213.5764573,1259,1372687213,576702365,dvl_linkquest,0X0000,1,1,1,1,2.3,2.2,2.1,2.2,-0.0212,-0.0508,0.1052,0.027600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1687,-0.1046,0.016399999999999998,1,-0.1687,-0.1046,0.016399999999999998,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.1,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.3 2.2 2.1 2.2 -21.2 -50.8 105.2 27.6 0 0 0 0 0 0 0 0 -168.7 -104.6 16.4 1 -168.7 -104.6 16.4 1 0 0 0 0 0 0 0 0 0 0 0 2.1 15.0 2853823.582 0 1500 100
"
1372687213.9290206,1260,1372687213,930816398,dvl_linkquest,0X0000,1,1,1,1,2.3,2.3,2.1,2.2,-0.0424,-0.005200000000000001,0.09290000000000001,0.0505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1806,-0.0743,0.0258,1,-0.1806,-0.0743,0.0258,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.1,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.3 2.3 2.1 2.2 -42.4 -5.2 92.9 50.5 0 0 0 0 0 0 0 0 -180.6 -74.3 25.8 1 -180.6 -74.3 25.8 1 0 0 0 0 0 0 0 0 0 0 0 2.1 15.0 2853823.582 0 1500 107
"
1372687214.2798147,1261,1372687214,280283699,dvl_linkquest,0X0000,1,1,1,1,2.3,2.3,2.1,2.2,-0.0517,-0.0107,0.09340000000000001,0.0479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19369999999999998,-0.0782,0.0213,1,-0.19369999999999998,-0.0782,0.0213,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.1,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.3 2.3 2.1 2.2 -51.7 -10.7 93.4 47.9 0 0 0 0 0 0 0 0 -193.7 -78.2 21.3 1 -193.7 -78.2 21.3 1 0 0 0 0 0 0 0 0 0 0 0 2.1 15.0 2853823.582 0 1500 93
"
1372687214.620814,1262,1372687214,627721847,dvl_linkquest,0X0000,1,1,1,1,2.3,2.3,2.1,2.2,-0.0691,-0.0259,0.08120000000000001,0.04820000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2006,-0.0989,0.0092,1,-0.2006,-0.0989,0.0092,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.1,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.3 2.3 2.1 2.2 -69.1 -25.9 81.2 48.2 0 0 0 0 0 0 0 0 -200.6 -98.9 9.2 1 -200.6 -98.9 9.2 1 0 0 0 0 0 0 0 0 0 0 0 2.1 15.0 2853823.582 0 1500 89
"
1372687214.9734461,1263,1372687214,974709562,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.0,2.3,-0.0678,-0.0151,0.0952,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2175,-0.037,0.0067,1,-0.2175,-0.037,0.0067,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.0 2.3 -67.8 -15.1 95.2 12.6 0 0 0 0 0 0 0 0 -217.5 -37.0 6.7 1 -217.5 -37.0 6.7 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 93
"
1372687215.3130696,1264,1372687215,321686070,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.0,2.3,-0.0597,0.0058,0.0945,0.016399999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2058,-0.0141,0.0154,1,-0.2058,-0.0141,0.0154,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.0 2.3 -59.7 5.8 94.5 16.4 0 0 0 0 0 0 0 0 -205.8 -14.1 15.4 1 -205.8 -14.1 15.4 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 74
"
